EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.08528841,0.051962536,0.10773042,0.0134668825,0.13466795,317.6759,252.88908,333.69427,0.25292906,619.0805,36.0,1463
0.09763397,0.023567285,0.09763397,0.07406668,0.121201254,266.78854,199.79309,266.78854,66.99544,466.58163,27.0,1470
0.040350273,0.020202726,0.040350273,0.020147549,0.060553,33.76351,33.25827,33.76351,0.50524247,67.02178,10.0,1476
0.11438893,0.0,0.11438893,0.11438893,0.11438893,280.48203,0.0,280.48203,280.48203,280.48203,15.0,1479
0.10098138,0.04761723,0.13463594,0.033640437,0.13466772,418.28946,293.2153,624.41797,3.622753,626.8277,43.0,1493
0.067293875,0.0,0.067293875,0.067293875,0.067293875,48.9858,0.0,48.9858,48.9858,48.9858,8.0,1497
0.057223696,0.023557495,0.057223696,0.0336662,0.08078119,51.784492,38.530777,51.784492,13.253717,90.31527,15.0,1503
0.070685886,0.016827742,0.070685886,0.053858142,0.087513626,82.51435,35.330315,82.51435,47.184032,117.844666,19.0,1508
0.09196073,0.035730187,0.09422361,0.047112826,0.13454574,270.07266,258.10168,147.48215,33.620743,629.1151,39.0,1517
0.04376132,0.0033624303,0.04376132,0.04039889,0.04712375,17.564379,3.8298283,17.564379,13.73455,21.394207,11.0,1523
0.100944616,0.023987025,0.087465666,0.08072478,0.1346434,300.76572,232.73758,187.32297,89.90865,625.06555,43.0,1534
0.087520435,0.033657517,0.087520435,0.053862914,0.12117795,190.74768,143.30295,190.74768,47.444736,334.05063,24.0,1540
0.0718141,0.049581368,0.067311876,0.013465998,0.13466443,222.24501,279.3482,49.134624,1.2652926,616.3351,30.0,1549
0.043750137,0.023564348,0.043750137,0.020185787,0.06731448,45.33015,44.84014,45.33015,0.49000764,90.170296,11.0,1554
0.100995235,0.0,0.100995235,0.100995235,0.100995235,187.98018,0.0,187.98018,187.98018,187.98018,13.0,1559
0.060587417,0.047120567,0.060587417,0.013466853,0.107707985,115.496025,114.23192,115.496025,1.2641046,229.72795,16.0,1568
0.030298958,0.003367314,0.030298958,0.026931643,0.03366627,5.47414,1.6242034,5.47414,3.849937,7.098344,7.0,1575
0.080800325,0.020199455,0.080800325,0.06060087,0.10099978,156.03021,122.21804,156.03021,33.812172,278.24826,22.0,1580
0.047129806,0.026932096,0.047129806,0.02019771,0.0740619,58.593086,58.08506,58.593086,0.5080248,116.67815,12.0,1584
0.06396031,0.050493773,0.06396031,0.013466534,0.11445408,195.59195,195.35072,195.59195,0.24122854,390.94266,17.0,1597
0.09089875,0.030298173,0.09089875,0.06060058,0.121196926,249.43407,215.99202,249.43407,33.442047,465.4261,25.0,1603
0.090892404,0.016827885,0.090892404,0.07406452,0.10772029,174.54968,56.416412,174.54968,118.13327,230.9661,25.0,1608
0.03703144,0.010099154,0.03703144,0.026932284,0.047130592,10.51819,3.335393,10.51819,7.1827974,13.853583,9.0,1612
0.08528668,0.041263003,0.087533526,0.033664063,0.13466242,270.82062,259.42902,186.48488,3.7624702,622.21454,36.0,1621
0.0774298,0.023564218,0.0774298,0.053865585,0.10099402,150.60382,128.22495,150.60382,22.378876,278.82877,21.0,1625
